local_a_m,local_b_m,x_m,y_m,diameter_upper_bound_m,move_distance_m,move_and_detect_time_s
220.9419376327556,195.47291422364256,1720.9419376327555,195.47291422364256,15.768784303874716,295.0,64.0
220.9419376327556,-195.47291422364256,1720.9419376327555,-195.47291422364256,15.768784303874538,295.0,64.0
222.06543824604964,201.7100422304004,1722.0654382460496,201.7100422304004,15.800961139514452,300.0,65.0
222.06543824604964,-201.7100422304004,1722.0654382460496,-201.7100422304004,15.800961139514436,300.0,65.0
220.08692564320137,196.43509147024608,1720.0869256432013,196.43509147024608,15.819531952561873,295.0,64.0
220.08692564320137,-196.43509147024608,1720.0869256432013,-196.43509147024608,15.819531952561743,295.0,64.0
221.79274320629833,194.5070154545203,1721.7927432062984,194.5070154545203,15.82519018062693,295.0,64.0
221.79274320629833,-194.5070154545203,1721.7927432062984,-194.5070154545203,15.825190180626999,295.0,64.0
221.18320104303723,202.67706228469808,1721.1832010430371,202.67706228469808,15.835838588892543,300.0,65.0
221.18320104303723,-202.67706228469808,1721.1832010430371,-202.67706228469808,15.835838588892372,300.0,65.0
218.86577826460388,190.2571184072471,1718.865778264604,190.2571184072471,15.83798454103564,290.0,63.0
218.86577826460388,-190.2571184072471,1718.865778264604,-190.2571184072471,15.837984541035512,290.0,63.0
222.94344764321826,200.73918190765747,1722.9434476432182,200.73918190765747,15.85748611051005,300.0,65.0
222.94344764321826,-200.73918190765747,1722.9434476432182,-200.73918190765747,15.857486110510054,300.0,65.0
219.22772351583131,197.39352887586318,1719.2277235158313,197.39352887586318,15.870409213676133,295.0,64.0
219.22772351583131,-197.39352887586318,1719.2277235158313,-197.39352887586318,15.870409213676087,295.0,64.0
222.63932616571773,193.53741355219964,1722.6393261657176,193.53741355219964,15.883820906286356,295.0,64.0
222.63932616571773,-193.53741355219964,1722.6393261657176,-193.53741355219964,15.883820906286328,295.0,64.0
220.29675283070566,203.6402236598825,1720.2967528307056,203.6402236598825,15.885237265584554,300.0,65.0
220.29675283070566,-203.6402236598825,1720.2967528307056,-203.6402236598825,15.88523726558451,300.0,65.0
218.03354416890343,191.21028637901998,1718.0335441689035,191.21028637901998,15.917478732579726,290.0,63.0
218.03354416890343,-191.21028637901998,1718.0335441689035,-191.21028637901998,15.917478732579726,290.0,63.0
219.40611048575113,204.59950801874953,1719.406110485751,204.59950801874953,15.934753977924089,300.0,65.0
219.40611048575113,-204.59950801874953,1719.406110485751,-204.59950801874953,15.934753977923952,300.0,65.0
223.81721251850988,199.76449980025026,1723.81721251851,199.76449980025026,15.94523947064745,300.0,65.0
223.81721251850988,-199.76449980025026,1723.81721251851,-199.76449980025026,15.945239470647435,300.0,65.0
218.36434760861547,198.34820819322707,1718.3643476086154,198.34820819322707,15.958454625457346,295.0,64.0
218.36434760861547,-198.34820819322707,1718.3643476086154,-198.34820819322707,15.958454625457215,295.0,64.0
217.1971590288106,192.15981398256386,1717.1971590288106,192.15981398256386,15.976499627176704,290.0,63.0
217.1971590288106,-192.15981398256386,1717.1971590288106,-192.15981398256386,15.976499627176617,290.0,63.0
217.4968143589866,199.29911124661976,1717.4968143589865,199.29911124661976,16.009838704952628,295.0,64.0
217.4968143589866,-199.29911124661976,1717.4968143589865,-199.29911124661976,16.009838704952493,295.0,64.0
224.68671623670062,198.78601446472126,1724.6867162367007,198.78601446472126,16.01070414964078,300.0,65.0
224.68671623670062,-198.78601446472126,1724.6867162367007,-198.78601446472126,16.010704149640787,300.0,65.0
216.35663876789286,193.10568314024192,1716.356638767893,193.10568314024192,16.029668429701804,290.0,63.0
216.35663876789286,-193.10568314024192,1716.356638767893,-193.10568314024192,16.02966842970154,290.0,63.0
215.09223036349002,186.97682326229457,1715.09223036349,186.97682326229457,16.04363611569958,285.0,62.0
215.09223036349002,-186.97682326229457,1715.09223036349,-186.97682326229457,16.043636115699496,285.0,62.0
216.62514028352723,200.2462199322178,1716.6251402835273,200.2462199322178,16.061349747817456,295.0,64.0
216.62514028352723,-200.2462199322178,1716.6251402835273,-200.2462199322178,16.061349747817413,295.0,64.0
214.49244407331383,179.980530712231,1714.492444073314,179.980530712231,16.07146191563354,280.0,61.0
214.49244407331383,-179.980530712231,1714.492444073314,-179.980530712231,16.071461915633414,280.0,61.0
226.27416997969522,226.27416997969522,1726.2741699796952,226.27416997969522,16.082538738218183,320.0,69.0
226.27416997969522,-226.27416997969522,1726.2741699796952,-226.27416997969522,16.082538738218155,320.0,69.0
215.51199938844434,194.0478758440689,1715.5119993884443,194.0478758440689,16.082976052146808,290.0,63.0
215.51199938844434,-194.0478758440689,1715.5119993884443,-194.0478758440689,16.082976052146673,290.0,63.0
225.55194224369322,197.80374453002065,1725.5519422436932,197.80374453002065,16.09341374292346,300.0,65.0
225.55194224369322,-197.80374453002065,1725.5519422436932,-197.80374453002065,16.09341374292348,300.0,65.0
