local_a_m,local_b_m,x_m,y_m,diameter_upper_bound_m,move_distance_m,move_and_detect_time_s
730.0,650.0,730.0,650.0,135.57267824590448,977.4456506629921,200.4891301325984
730.0,-650.0,730.0,-650.0,135.57267824590448,977.4456506629921,200.4891301325984
680.0,720.0,680.0,720.0,135.78863663627718,990.3534722511957,203.07069445023916
680.0,-720.0,680.0,-720.0,135.78863663627718,990.3534722511957,203.07069445023916
700.0,690.0,700.0,690.0,135.83571214529854,982.9038610159184,201.5807722031837
700.0,-690.0,700.0,-690.0,135.83571214529854,982.9038610159184,201.5807722031837
660.0,750.0,660.0,750.0,135.86362967921457,999.0495483208027,204.80990966416056
660.0,-750.0,660.0,-750.0,135.86362967921457,999.0495483208027,204.80990966416056
750.0,620.0,750.0,620.0,135.9583088213236,973.0878685915266,199.61757371830532
750.0,-620.0,750.0,-620.0,135.9583088213236,973.0878685915266,199.61757371830532
720.0,660.0,720.0,660.0,136.02239358253672,976.7292357659824,200.34584715319647
720.0,-660.0,720.0,-660.0,136.02239358253672,976.7292357659824,200.34584715319647
760.0,620.0,760.0,620.0,136.20493240687856,980.8159868191383,201.16319736382766
760.0,-620.0,760.0,-620.0,136.20493240687856,980.8159868191383,201.16319736382766
670.0,730.0,670.0,730.0,136.30250634739454,990.858213873206,203.17164277464119
670.0,-730.0,670.0,-730.0,136.30250634739454,990.858213873206,203.17164277464119
690.0,700.0,690.0,700.0,136.3231456020831,982.9038610159184,201.5807722031837
690.0,-700.0,690.0,-700.0,136.3231456020831,982.9038610159184,201.5807722031837
770.0,630.0,770.0,630.0,136.32892045529348,994.8869282486327,203.97738564972653
770.0,-630.0,770.0,-630.0,136.32892045529348,994.8869282486327,203.97738564972653
740.0,630.0,740.0,630.0,136.36982334898417,971.8538984847465,199.3707796969493
740.0,-630.0,740.0,-630.0,136.36982334898417,971.8538984847465,199.3707796969493
650.0,760.0,650.0,760.0,136.40016413583461,1000.0499987500625,205.0099997500125
650.0,-760.0,650.0,-760.0,136.40016413583461,1000.0499987500625,205.0099997500125
710.0,670.0,710.0,670.0,136.47879906915918,976.2171889492624,200.2434377898525
710.0,-670.0,710.0,-670.0,136.47879906915918,976.2171889492624,200.2434377898525
730.0,640.0,730.0,640.0,136.78956301254232,970.8243919473799,199.16487838947597
730.0,-640.0,730.0,-640.0,136.78956301254232,970.8243919473799,199.16487838947597
680.0,710.0,680.0,710.0,136.81583183640382,983.107318658548,201.6214637317096
680.0,-710.0,680.0,-710.0,136.81583183640382,983.107318658548,201.6214637317096
660.0,740.0,660.0,740.0,136.8207080829705,991.5644204992432,203.31288409984865
660.0,-740.0,660.0,-740.0,136.8207080829705,991.5644204992432,203.31288409984865
640.0,770.0,640.0,770.0,136.94028756426857,1001.2492197250393,205.24984394500785
640.0,-770.0,640.0,-770.0,136.94028756426857,1001.2492197250393,205.24984394500785
700.0,680.0,700.0,680.0,136.94160670424856,975.9098319004681,200.18196638009363
700.0,-680.0,700.0,-680.0,136.94160670424856,975.9098319004681,200.18196638009363
720.0,650.0,720.0,650.0,137.2171512219628,970.0,199.0
720.0,-650.0,720.0,-650.0,137.2171512219628,970.0,199.0
750.0,610.0,750.0,610.0,137.27980980331523,966.7471230885562,198.34942461771124
750.0,-610.0,750.0,-610.0,137.27980980331523,966.7471230885562,198.34942461771124
670.0,720.0,670.0,720.0,137.31356174282598,983.5141076771598,201.70282153543195
670.0,-720.0,670.0,-720.0,137.31356174282598,983.5141076771598,201.70282153543195
650.0,750.0,650.0,750.0,137.34307951194873,992.4716620639604,203.49433241279206
650.0,-750.0,650.0,-750.0,137.34307951194873,992.4716620639604,203.49433241279206
690.0,690.0,690.0,690.0,137.41054571224367,975.8073580374356,200.16147160748713
690.0,-690.0,690.0,-690.0,137.41054571224367,975.8073580374356,200.16147160748713
630.0,780.0,630.0,780.0,137.48387340075575,1002.6464980241042,205.52929960482084
630.0,-780.0,630.0,-780.0,137.48387340075575,1002.6464980241042,205.52929960482084
760.0,610.0,760.0,610.0,137.53125631414022,974.5255255764212,199.90510511528424
760.0,-610.0,760.0,-610.0,137.53125631414022,974.5255255764212,199.90510511528424
770.0,620.0,770.0,620.0,137.63817697787402,988.5848471426214,202.71696942852427
770.0,-620.0,770.0,-620.0,137.63817697787402,988.5848471426214,202.71696942852427
710.0,660.0,710.0,660.0,137.6522351481559,969.3812459502195,198.8762491900439
710.0,-660.0,710.0,-660.0,137.6522351481559,969.3812459502195,198.8762491900439
740.0,620.0,740.0,620.0,137.66558199307423,965.4014708917736,198.0802941783547
740.0,-620.0,740.0,-620.0,137.66558199307423,965.4014708917736,198.0802941783547
660.0,730.0,660.0,730.0,137.81613789421064,984.1239759298622,201.82479518597245
660.0,-730.0,660.0,-730.0,137.81613789421064,984.1239759298622,201.82479518597245
640.0,760.0,640.0,760.0,137.86946691156103,993.5793878699377,203.71587757398754
640.0,-760.0,640.0,-760.0,137.86946691156103,993.5793878699377,203.71587757398754
680.0,700.0,680.0,700.0,137.8853612498923,975.9098319004681,200.18196638009363
680.0,-700.0,680.0,-700.0,137.8853612498923,975.9098319004681,200.18196638009363
780.0,630.0,780.0,630.0,138.02506868398345,1002.6464980241042,205.52929960482084
780.0,-630.0,780.0,-630.0,138.02506868398345,1002.6464980241042,205.52929960482084
730.0,630.0,730.0,630.0,138.060576092748,964.2613753542138,197.85227507084275
730.0,-630.0,730.0,-630.0,138.060576092748,964.2613753542138,197.85227507084275
700.0,670.0,700.0,670.0,138.09448384970287,968.9685237405805,198.7937047481161
700.0,-670.0,700.0,-670.0,138.09448384970287,968.9685237405805,198.7937047481161
650.0,740.0,650.0,740.0,138.3233737176092,984.9365461794988,201.98730923589977
